symbol,action,date,price,shares,pnl_pct,reason,entry_date,entry_price
300663,BUY,20241014,23.88,600,0.0,REBALANCE,20241014,23.88
300468,BUY,20241014,24.78,600,0.0,REBALANCE,20241014,24.78
300925,BUY,20241014,26.0,500,0.0,REBALANCE,20241014,26.0
002423,BUY,20241014,17.91,800,0.0,REBALANCE,20241014,17.91
300180,BUY,20241014,9.58,1500,0.0,REBALANCE,20241014,9.58
300551,BUY,20241014,13.88,1100,0.0,REBALANCE,20241014,13.88
300339,BUY,20241014,51.3,200,0.0,REBALANCE,20241014,51.3
300287,BUY,20241014,5.07,3000,0.0,REBALANCE,20241014,5.07
300561,BUY,20241014,18.76,800,0.0,REBALANCE,20241014,18.76
300061,BUY,20241014,11.95,1200,0.0,REBALANCE,20241014,11.95
300468,SELL,20241014,22.32,600,-9.927360774818403,STOP_LOSS,20241014,24.78
300746,SELL,20241015,16.21,1000,10.272108843537426,TRAILING_STOP,20241014,14.7
300380,SELL,20241015,37.0,400,5.653912050256986,TRAILING_STOP,20241014,35.02
300085,SELL,20241015,35.65,400,15.074241446094247,TRAILING_STOP,20241014,30.98
300663,SELL,20241015,25.45,600,6.574539363484089,TRAILING_STOP,20241014,23.88
300925,SELL,20241015,26.66,500,2.538461538461539,TRAILING_STOP,20241014,26.0
002423,SELL,20241015,18.22,800,1.7308766052484574,TRAILING_STOP,20241014,17.91
300180,SELL,20241015,9.97,1500,4.0709812108559555,TRAILING_STOP,20241014,9.58
300551,SELL,20241015,14.44,1100,4.0345821325648314,TRAILING_STOP,20241014,13.88
300339,SELL,20241015,60.02,200,16.99805068226122,TRAILING_STOP,20241014,51.3
300287,SELL,20241015,5.15,3000,1.577909270216964,TRAILING_STOP,20241014,5.07
300561,SELL,20241015,18.67,800,-0.4797441364605535,TRAILING_STOP,20241014,18.76
300061,SELL,20241015,14.21,1200,18.912133891213404,TRAILING_STOP,20241014,11.95
000595,SELL,20241016,9.68,1500,-0.717948717948721,TRAILING_STOP,20241014,9.75
300380,BUY,20241021,39.16,400,0.0,REBALANCE,20241021,39.16
300663,BUY,20241021,26.05,600,0.0,REBALANCE,20241021,26.05
300085,BUY,20241021,43.3,300,0.0,REBALANCE,20241021,43.3
300348,BUY,20241021,19.0,800,0.0,REBALANCE,20241021,19.0
300468,BUY,20241021,25.62,600,0.0,REBALANCE,20241021,25.62
002693,BUY,20241021,28.4,500,0.0,REBALANCE,20241021,28.4
300077,BUY,20241021,30.32,500,0.0,REBALANCE,20241021,30.32
002583,BUY,20241021,12.0,1300,0.0,REBALANCE,20241021,12.0
300803,BUY,20241021,92.58,100,0.0,REBALANCE,20241021,92.58
300925,BUY,20241021,27.7,500,0.0,REBALANCE,20241021,27.7
300180,BUY,20241021,9.97,1600,0.0,REBALANCE,20241021,9.97
300865,BUY,20241021,36.0,400,0.0,REBALANCE,20241021,36.0
300339,BUY,20241021,60.2,200,0.0,REBALANCE,20241021,60.2
300061,BUY,20241021,15.01,1000,0.0,REBALANCE,20241021,15.01
300085,SELL,20241021,44.94,300,3.7875288683602784,TRAILING_STOP,20241021,43.3
300348,SELL,20241021,20.25,800,6.578947368421052,TRAILING_STOP,20241021,19.0
300077,SELL,20241021,32.02,500,5.606860158311355,TRAILING_STOP,20241021,30.32
300803,SELL,20241021,95.84,100,3.5212788939295803,TRAILING_STOP,20241021,92.58
000158,SELL,20241022,24.82,1000,102.61224489795919,TRAILING_STOP,20240930,12.25
300663,SELL,20241022,24.89,600,-4.452975047984645,TRAILING_STOP,20241021,26.05
300468,SELL,20241022,23.76,600,-7.259953161592502,TRAILING_STOP,20241021,25.62
300925,SELL,20241022,26.58,500,-4.043321299638993,TRAILING_STOP,20241021,27.7
300180,SELL,20241022,9.65,1600,-3.2096288866599827,TRAILING_STOP,20241021,9.97
300865,SELL,20241022,36.46,400,1.2777777777777801,TRAILING_STOP,20241021,36.0
300339,SELL,20241022,64.31,200,6.827242524916942,TRAILING_STOP,20241021,60.2
300061,SELL,20241022,14.41,1000,-3.997335109926713,TRAILING_STOP,20241021,15.01
